n;RN;
1;1;
2;3;
3;7;
4;12;
5;18;
6;26;
7;30;
8;35;
9;42;
10;50;
11;63;
12;68;
13;76;
14;77;
15;86;
16;96;
17;100;
18;108;
19;115;
20;126;
21;132;
22;142;
23;154;
24;162;
25;164;
26;182;
27;190;
28;189;
29;200;
30;210;
31;215;
32;220;
33;240;
34;247;
35;248;
36;261;
37;282;
38;286;
39;285;
40;300;
41;312;
42;320;
43;331;
44;337;
45;352;
46;352;
47;375;
48;378;
49;375;
50;386;
51;410;
52;406;
53;432;
54;435;
55;449;
56;461;
57;469;
58;472;
59;487;
60;490;
61;497;
62;504;
63;535;
64;527;
65;539;
66;564;
67;563;
68;560;
69;587;
70;591;
71;601;
72;612;
73;607;
74;636;
75;642;
76;639;
77;664;
78;683;
79;690;
80;694;
81;705;
82;722;
83;719;
84;733;
85;735;
86;752;
87;753;
88;780;
89;783;
90;805;
91;810;
92;816;
93;829;
94;850;
95;875;
96;854;
97;876;
98;886;
99;897;
100;903;
101;922;
102;926;
103;927;
104;936;
105;944;
106;966;
107;994;
108;975;
109;996;
110;1020;
111;1039;
112;1022;
113;1047;
114;1049;
115;1051;
116;1091;
117;1080;
118;1098;
119;1116;
120;1122;
121;1137;
122;1115;
123;1160;
124;1163;
125;1175;
126;1178;
127;1178;
128;1212;
129;1224;
130;1221;
131;1237;
132;1246;
133;1261;
134;1268;
135;1289;
136;1283;
137;1276;
138;1316;
139;1319;
140;1342;
141;1333;
142;1370;
143;1364;
144;1405;
145;1392;
146;1412;
147;1397;
148;1413;
149;1445;
150;1445;
151;1465;
152;1459;
153;1482;
154;1479;
155;1503;
156;1512;
157;1520;
158;1555;
159;1562;
160;1537;
161;1568;
162;1577;
163;1574;
164;1618;
165;1620;
166;1624;
167;1636;
168;1638;
169;1681;
170;1676;
171;1683;
172;1713;
173;1698;
174;1717;
175;1733;
176;1740;
177;1753;
178;1757;
179;1796;
180;1783;
181;1787;
182;1810;
183;1817;
184;1834;
185;1824;
186;1860;
187;1863;
188;1907;
189;1897;
190;1932;
191;1921;
192;1943;
193;1931;
194;1966;
195;1956;
196;1980;
197;1986;
198;2000;
199;2006;
200;2035;
201;2031;
202;2039;
203;2036;
204;2049;
205;2081;
206;2094;
207;2095;
208;2123;
209;2103;
