n;RN;
1;1;
2;3;
3;9;
4;14;
5;21;
6;27;
7;35;
8;45;
9;53;
10;62;
11;71;
12;82;
13;91;
14;101;
15;111;
16;123;
17;133;
18;147;
19;157;
20;169;
21;179;
22;192;
23;203;
24;216;
25;227;
26;242;
27;253;
28;266;
29;277;
30;291;
31;303;
32;317;
33;329;
34;345;
35;357;
36;371;
37;383;
38;401;
39;413;
40;427;
41;439;
42;455;
43;467;
44;481;
45;493;
46;510;
47;523;
48;538;
49;551;
50;568;
51;581;
52;596;
53;609;
54;628;
55;641;
56;656;
57;669;
58;686;
59;699;
60;714;
61;727;
62;745;
63;759;
64;775;
65;789;
66;807;
67;821;
68;837;
69;851;
70;871;
71;885;
72;901;
73;915;
74;933;
75;947;
76;963;
77;977;
78;999;
79;1013;
80;1029;
81;1043;
82;1061;
83;1075;
84;1091;
85;1105;
86;1125;
87;1139;
88;1155;
89;1169;
90;1187;
91;1201;
92;1217;
93;1231;
94;1252;
95;1267;
96;1284;
97;1299;
98;1318;
99;1333;
100;1350;
101;1365;
102;1386;
103;1401;
104;1418;
105;1433;
106;1452;
107;1467;
108;1484;
109;1499;
110;1522;
111;1537;
112;1554;
113;1569;
114;1588;
115;1603;
116;1620;
117;1635;
118;1656;
119;1671;
120;1688;
121;1703;
122;1722;
123;1737;
124;1754;
125;1769;
126;1791;
127;1807;
128;1825;
129;1841;
130;1861;
131;1877;
132;1895;
133;1911;
134;1933;
135;1949;
136;1967;
137;1983;
138;2003;
139;2019;
140;2037;
141;2053;
142;2077;
143;2093;
144;2111;
145;2127;
146;2147;
147;2163;
148;2181;
149;2197;
150;2219;
151;2235;
152;2253;
153;2269;
154;2289;
155;2305;
156;2323;
157;2339;
158;2365;
159;2381;
160;2399;
161;2415;
162;2435;
163;2451;
164;2469;
165;2485;
166;2507;
167;2523;
168;2541;
169;2557;
170;2577;
171;2593;
172;2611;
173;2627;
174;2651;
175;2667;
176;2685;
177;2701;
178;2721;
179;2737;
180;2755;
181;2771;
182;2793;
183;2809;
184;2827;
185;2843;
186;2863;
187;2879;
188;2897;
189;2913;
190;2938;
191;2955;
192;2974;
193;2991;
194;3012;
195;3029;
196;3048;
197;3065;
198;3088;
199;3105;
200;3124;
201;3141;
202;3162;
203;3179;
204;3198;
